time,Real Lower Band,Real Middle Band,Real Upper Band
2017-10-09,3317.8077,3490.9725,3664.1373
2017-10-06,3322.2056,3489.5632,3656.9207
2017-10-05,3326.2159,3488.3050,3650.3941
2017-10-04,3331.7314,3486.6665,3641.6016
2017-10-03,3335.2322,3484.4927,3633.7531
2017-10-02,3340.8043,3482.3648,3623.9253
2017-09-29,3346.3685,3480.0507,3613.7328
2017-09-28,3351.7480,3477.8375,3603.9270
2017-09-27,3354.8599,3476.4170,3597.9741
2017-09-26,3357.5420,3475.1553,3592.7687
2017-09-25,3359.0553,3474.4125,3589.7697
2017-09-22,3359.4993,3472.8137,3586.1280
2017-09-21,3361.5448,3471.6455,3581.7462
2017-09-20,3361.8305,3471.5807,3581.3308
2017-09-19,3360.9968,3471.7935,3582.5902
2017-09-18,3358.4671,3472.3032,3586.1393
2017-09-15,3357.3569,3472.5855,3587.8141
2017-09-14,3354.7888,3473.2557,3591.7225
2017-09-13,3352.9146,3473.7202,3594.5257
2017-09-12,3350.4185,3474.3455,3598.2725
2017-09-11,3345.8911,3475.4625,3605.0339
2017-09-08,3344.2642,3476.2740,3608.2838
2017-09-07,3344.7101,3477.5702,3610.4303
2017-09-06,3344.2503,3479.2283,3614.2064
2017-09-05,3344.1878,3481.2962,3618.4045
2017-09-04,3346.2281,3483.3477,3620.4672
2017-09-01,3344.8610,3485.9418,3627.0226
2017-08-31,3344.7163,3487.9418,3631.1674
2017-08-30,3347.3534,3490.0647,3632.7760
2017-08-29,3351.8318,3492.5725,3633.3132
2017-08-28,3356.1502,3495.9658,3635.7815
2017-08-25,3359.0787,3498.3990,3637.7193
2017-08-24,3361.3625,3500.3330,3639.3035
2017-08-23,3363.0940,3502.2745,3641.4550
2017-08-22,3364.6265,3504.6132,3644.5998
2017-08-21,3365.1495,3506.6703,3648.1911
2017-08-18,3368.3793,3509.3885,3650.3977
2017-08-17,3369.3022,3511.8718,3654.4415
2017-08-16,3370.4394,3513.7812,3657.1230
2017-08-15,3369.8965,3515.4885,3661.0805
2017-08-14,3372.0093,3517.1603,3662.3114
2017-08-11,3374.3194,3519.3965,3664.4736
2017-08-10,3377.5757,3523.3223,3669.0690
2017-08-09,3378.3601,3526.7947,3675.2293
2017-08-08,3377.0026,3529.6125,3682.2224
2017-08-07,3374.7109,3531.4112,3688.1114
2017-08-04,3371.3604,3533.7435,3696.1266
2017-08-03,3368.1479,3536.1047,3704.0614
2017-08-02,3368.4805,3539.0337,3709.5868
2017-07-31,3368.6141,3542.3582,3716.1023
2017-07-28,3372.3967,3545.3335,3718.2703
2017-07-27,3376.3708,3547.3088,3718.2468
2017-07-26,3378.7126,3548.7267,3718.7408
2017-07-25,3381.3015,3549.8667,3718.4319
2017-07-24,3385.3888,3551.3625,3717.3362
2017-07-21,3391.6717,3553.4548,3715.2379
2017-07-20,3398.4511,3555.6457,3712.8402
2017-07-19,3401.0823,3556.9438,3712.8053
2017-07-18,3395.1827,3555.9437,3716.7047
2017-07-17,3391.1036,3555.2995,3719.4954
2017-07-14,3382.1996,3553.7102,3725.2207
2017-07-13,3371.8468,3551.7742,3731.7015
2017-07-12,3366.3847,3550.4480,3734.5113
2017-07-11,3363.4038,3549.6693,3735.9349
2017-07-10,3363.8660,3549.7620,3735.6580
2017-07-07,3364.0411,3549.8017,3735.5622
2017-07-06,3366.3957,3550.3343,3734.2730
2017-07-05,3368.5388,3550.7928,3733.0469
2017-07-04,3368.0809,3550.6957,3733.3104
2017-07-03,3368.2437,3550.7322,3733.2207
2017-06-30,3366.8744,3550.4177,3733.9610
2017-06-29,3371.7363,3551.4018,3731.0674
2017-06-28,3372.5504,3551.5727,3730.5950
2017-06-27,3369.2498,3550.5655,3731.8812
2017-06-26,3365.1277,3549.3447,3733.5616
2017-06-23,3358.1581,3547.2677,3736.3772
2017-06-22,3352.3972,3545.6088,3738.8204
2017-06-21,3347.4193,3543.8825,3740.3457
2017-06-20,3339.6332,3541.6550,3743.6768
2017-06-19,3333.0771,3539.4710,3745.8649
